src,dst,weight
Astoria Park,Fort Greene,1
Alphabet City,Kensington,14
Stuyvesant Heights,Columbia Street,1
Briarwood/Jamaica Hills,Saint Albans,2
Windsor Terrace,Times Sq/Theatre District,3
Rosedale,Hollis,3
Battery Park City,Williamsbridge/Olinville,5
Red Hook,Brownsville,2
Boerum Hill,Woodside,12
Meatpacking/West Village West,College Point,2
Long Island City/Queens Plaza,Downtown Brooklyn/MetroTech,12
Baisley Park,Saint Albans,2
Chinatown,Laurelton,1
Lincoln Square West,Soundview/Castle Hill,8
Hillcrest/Pomonok,Forest Hills,9
Stuy Town/Peter Cooper Village,Mott Haven/Port Morris,11
Central Harlem North,Erasmus,1
Lincoln Square West,Jamaica Estates,2
Financial District South,Marble Hill,2
Brownsville,Flatbush/Ditmas Park,4
Mariners Harbor,NA,3
Clinton Hill,Times Sq/Theatre District,3
Financial District North,Canarsie,8
Midtown South,Randalls Island,2
Claremont/Bathgate,Williamsbridge/Olinville,3
Brooklyn Navy Yard,Sunnyside,1
East Harlem North,Jamaica Estates,1
Jamaica Estates,Flushing Meadows-Corona Park,1
Baisley Park,Fordham South,1
Richmond Hill,NV,4
Lenox Hill West,Canarsie,7
Spuyten Duyvil/Kingsbridge,Inwood Hill Park,1
Bayside,Woodhaven,1
Canarsie,Coney Island,1
Springfield Gardens South,Manhattanville,3
Baisley Park,Queensbridge/Ravenswood,1
Cypress Hills,Carroll Gardens,1
East Chelsea,Cambria Heights,2
Washington Heights North,Inwood Hill Park,2
Little Italy/NoLiTa,Parkchester,2
SoHo,Flushing Meadows-Corona Park,2
Greenpoint,Gravesend,1
Canarsie,Jackson Heights,1
Hamilton Heights,Ocean Hill,1
Forest Hills,Manhattanville,1
Bay Ridge,Brownsville,1
East New York,Central Harlem North,1
Kensington,Bensonhurst West,1
Melrose South,Midtown East,1
East Harlem South,Grymes Hill/Clifton,1
Windsor Terrace,Upper East Side South,1
Prospect-Lefferts Gardens,East Tremont,1
Fort Greene,Riverdale/North Riverdale/Fieldston,1
Far Rockaway,Hammels/Arverne,1
JFK Airport,Clinton Hill,1893
Yorkville West,Murray Hill,2796
Upper East Side North,Upper East Side South,47884
East Harlem North,Lenox Hill East,589
Old Astoria,Kips Bay,86
Lower East Side,Gramercy,5770
TriBeCa/Civic Center,Hudson Sq,3794
Alphabet City,Clinton Hill,72
West Chelsea/Hudson Yards,Hudson Sq,1056
Clinton West,Central Harlem,566
SoHo,East Harlem North,100
Garment District,Kips Bay,3070
Woodside,Briarwood/Jamaica Hills,8
East Harlem South,Sutton Place/Turtle Bay North,655
Central Harlem,Yorkville East,193
Union Sq,TriBeCa/Civic Center,7316
Clinton West,Gramercy,780
LaGuardia Airport,Homecrest,106
Alphabet City,TriBeCa/Civic Center,537
Midtown South,Morningside Heights,560
Manhattan Valley,Flatiron,205
Battery Park City,Lower East Side,1054
JFK Airport,Manhattanville,298
Highbridge,Central Harlem,11
Bloomingdale,Morrisania/Melrose,6
Union Sq,Central Park,1460
Mount Hope,East Harlem South,2
World Trade Center,Murray Hill,1159
JFK Airport,Woodlawn/Wakefield,119
Two Bridges/Seward Park,Financial District North,395
Bedford,South Williamsburg,241
Financial District South,Morningside Heights,45
Williamsburg (North Side),Midtown Center,28
Little Italy/NoLiTa,North Corona,30
Park Slope,JFK Airport,42
Kips Bay,Red Hook,26
West Village,Stuyvesant Heights,306
Little Italy/NoLiTa,Old Astoria,74
Lenox Hill East,Bedford Park,24
Greenwich Village South,Prospect Heights,251
Murray Hill,Bedford,244
World Trade Center,Steinway,56
Upper East Side North,Jamaica Estates,5
Boerum Hill,Astoria,15
Bensonhurst West,Flatbush/Ditmas Park,3
East Flatbush/Farragut,Gowanus,1
Midtown East,Ridgewood,95
Manhattan Valley,Riverdale/North Riverdale/Fieldston,54
East Village,Belmont,15
Belmont,Sutton Place/Turtle Bay North,1
SoHo,Manhattanville,33
Little Italy/NoLiTa,Jackson Heights,113
Clinton West,South Williamsburg,7
Hamilton Heights,East Williamsburg,3
Prospect-Lefferts Gardens,Central Harlem North,7
Midtown East,West Farms/Bronx River,9
Yorkville East,Westchester Village/Unionport,8
East Harlem South,Belmont,16
Boerum Hill,Homecrest,9
Lower East Side,Randalls Island,1
West Chelsea/Hudson Yards,West Concourse,29
Washington Heights North,Manhattan Valley,21
Midtown South,Williamsbridge/Olinville,16
Clinton East,Van Cortlandt Park,15
Mott Haven/Port Morris,Manhattanville,10
Chinatown,Lenox Hill East,158
Flatbush/Ditmas Park,SoHo,1
Astoria,East Flatbush/Farragut,3
Clinton West,Flushing Meadows-Corona Park,5
Upper West Side South,Highbridge Park,21
Long Island City/Hunters Point,Little Italy/NoLiTa,18
Lincoln Square West,Elmhurst/Maspeth,4
East Harlem North,Howard Beach,2
Norwood,Van Nest/Morris Park,2
Midtown South,Ozone Park,7
Yorkville East,Marble Hill,3
Prospect Park,Brownsville,6
Park Slope,Corona,6
Long Island City/Queens Plaza,Two Bridges/Seward Park,31
Greenpoint,West Brighton,3
Meatpacking/West Village West,South Jamaica,2
Washington Heights South,Gramercy,21
Queensbridge/Ravenswood,World Trade Center,3
Randalls Island,Randalls Island,43
South Jamaica,UN/Turtle Bay South,3
TriBeCa/Civic Center,University Heights/Morris Heights,12
Gowanus,Lower East Side,6
University Heights/Morris Heights,Melrose South,6
Flatiron,Hillcrest/Pomonok,6
Meatpacking/West Village West,Forest Park/Highland Park,1
South Ozone Park,Ozone Park,4
Flushing,Jamaica,3
Greenpoint,Hudson Sq,6
Hudson Sq,Whitestone,2
Queensbridge/Ravenswood,East Williamsburg,20
Kew Gardens Hills,Oakland Gardens,1
Upper West Side North,Sheepshead Bay,1
Lenox Hill West,Douglaston,3
Upper West Side North,Brighton Beach,5
Gramercy,East New York/Pennsylvania Avenue,3
Mott Haven/Port Morris,Belmont,5
Clinton West,Pelham Bay,3
Astoria Park,Elmhurst,1
Van Cortlandt Village,Marble Hill,2
Lincoln Square West,Middle Village,5
Lenox Hill East,Belmont,7
Fort Greene,West Farms/Bronx River,1
Kensington,Dyker Heights,2
Woodhaven,Oakland Gardens,1
Soundview/Bruckner,East Harlem North,5
Crown Heights South,Williamsburg (South Side),2
Washington Heights North,Sutton Place/Turtle Bay North,6
NV,Cypress Hills,13
City Island,Pelham Bay,1
Financial District South,Auburndale,2
Steinway,Seaport,2
Melrose South,Parkchester,4
Battery Park,Lincoln Square West,3
Gramercy,Laurelton,2
Mott Haven/Port Morris,Bronx Park,2
Roosevelt Island,TriBeCa/Civic Center,1
Old Astoria,Financial District North,2
Bronx Park,Yorkville West,1
Park Slope,Kew Gardens Hills,2
Fort Greene,Williamsbridge/Olinville,3
Marble Hill,TriBeCa/Civic Center,2
Hudson Sq,Kingsbridge Heights,1
Williamsbridge/Olinville,Parkchester,1
South Williamsburg,Clinton West,1
Brownsville,Seaport,1
Westchester Village/Unionport,West Concourse,1
Upper West Side South,Howard Beach,1
Ridgewood,Morningside Heights,1
Rego Park,Stuy Town/Peter Cooper Village,1
Manhattanville,Saint Albans,1
Parkchester,Soundview/Castle Hill,3
Garment District,West Brighton,1
Sunset Park East,Times Sq/Theatre District,1
East Chelsea,Heartland Village/Todt Hill,1
LaGuardia Airport,Times Sq/Theatre District,12483
Gramercy,Alphabet City,2844
Midtown Center,Clinton East,12185
East Village,Bushwick South,1341
Midtown East,LaGuardia Airport,6665
Downtown Brooklyn/MetroTech,East Chelsea,95
Clinton East,Central Harlem North,1659
JFK Airport,Borough Park,475
Astoria,Old Astoria,1196
Murray Hill,Yorkville West,4395
Financial District South,Gramercy,653
Lincoln Square East,Richmond Hill,7
East Williamsburg,Central Harlem North,4
Lincoln Square West,Hamilton Heights,406
Central Harlem,Meatpacking/West Village West,40
LaGuardia Airport,Greenpoint,1446
Midtown Center,Midtown North,14335
Steinway,Astoria Park,8
Manhattanville,Upper East Side North,109
Sutton Place/Turtle Bay North,Hillcrest/Pomonok,22
NV,Financial District North,199
East Chelsea,Yorkville East,785
Yorkville East,West Village,274
Clinton West,Bensonhurst West,26
Meatpacking/West Village West,Central Harlem,239
LaGuardia Airport,Springfield Gardens South,121
Gramercy,Stuy Town/Peter Cooper Village,2933
Greenwich Village North,West Chelsea/Hudson Yards,3214
LaGuardia Airport,Co-Op City,109
Boerum Hill,TriBeCa/Civic Center,237
SoHo,Financial District North,1478
Astoria,North Corona,114
UN/Turtle Bay South,Briarwood/Jamaica Hills,26
Manhattan Valley,Newark Airport,84
Penn Station/Madison Sq West,Astoria,1010
Penn Station/Madison Sq West,Windsor Terrace,119
Midtown North,Hudson Sq,605
West Concourse,Washington Heights South,45
Brooklyn Heights,Upper East Side North,63
Greenwich Village North,Yorkville East,603
Gramercy,Red Hook,31
World Trade Center,Cobble Hill,104
Van Cortlandt Village,Washington Heights South,3
Brooklyn Heights,Flatiron,74
Baisley Park,Yorkville West,18
Crown Heights North,Flatbush/Ditmas Park,40
Astoria,Murray Hill,119
Park Slope,Erasmus,42
Fort Greene,TriBeCa/Civic Center,131
Manhattanville,Elmhurst,4
Williamsburg (North Side),Bay Terrace/Fort Totten,1
Murray Hill,Sunset Park West,115
Bushwick North,Carroll Gardens,5
Brownsville,Bushwick North,1
Manhattanville,Longwood,2
Washington Heights North,Mott Haven/Port Morris,16
Midtown South,Crown Heights South,73
Flatiron,Country Club,1
Woodlawn/Wakefield,Soundview/Castle Hill,1
East Williamsburg,Sutton Place/Turtle Bay North,13
Fort Greene,Seaport,20
Elmhurst/Maspeth,Queensboro Hill,7
East Village,Flushing Meadows-Corona Park,5
Queensbridge/Ravenswood,Garment District,10
Clinton West,Corona,18
Bloomingdale,World Trade Center,14
Midtown South,Flatlands,18
Old Astoria,UN/Turtle Bay South,40
Upper East Side North,Kingsbridge Heights,41
Alphabet City,Richmond Hill,3
Times Sq/Theatre District,Van Nest/Morris Park,28
Flatiron,West Concourse,30
Clinton West,Bayside,5
Morrisania/Melrose,East New York,1
Manhattan Valley,Bronx Park,4
Prospect Heights,Garment District,3
Upper West Side North,Randalls Island,8
World Trade Center,Borough Park,25
Greenwich Village South,Queensboro Hill,4
Manhattan Valley,Prospect-Lefferts Gardens,8
Times Sq/Theatre District,Forest Park/Highland Park,3
East Village,Brooklyn Navy Yard,46
Flushing Meadows-Corona Park,Financial District North,12
Morningside Heights,Battery Park,12
Downtown Brooklyn/MetroTech,Woodside,8
Washington Heights North,Midtown Center,4
Clinton West,Murray Hill-Queens,5
Bensonhurst East,Midtown Center,1
Times Sq/Theatre District,Astoria Park,3
Columbia Street,JFK Airport,7
Elmhurst,Union Sq,3
Financial District South,Madison,8
Upper West Side North,South Ozone Park,10
East New York,Lower East Side,4
East Chelsea,Co-Op City,12
DUMBO/Vinegar Hill,Jackson Heights,3
Upper West Side South,Marine Park/Mill Basin,2
Bushwick North,Erasmus,5
DUMBO/Vinegar Hill,South Ozone Park,4
Battery Park City,Longwood,3
Queensboro Hill,Corona,5
Prospect Park,Midwood,3
East Elmhurst,Bay Terrace/Fort Totten,2
TriBeCa/Civic Center,Hollis,4
Queens Village,Stapleton,1
Greenwich Village North,Fordham South,8
East Williamsburg,East Flatbush/Remsen Village,2
Elmhurst,SoHo,1
Inwood,Elmhurst,1
Sunset Park West,Ocean Hill,4
Astoria,Red Hook,2
Manhattan Valley,Jamaica Estates,1
Jamaica,Forest Park/Highland Park,1
Chinatown,Brighton Beach,4
NA,East Flatbush/Farragut,1
Dyker Heights,Sunset Park East,2
Prospect Park,Gramercy,1
South Williamsburg,Windsor Terrace,2
Stuyvesant Heights,Cypress Hills,5
Jackson Heights,Hunts Point,3
East Flatbush/Remsen Village,East New York/Pennsylvania Avenue,1
Parkchester,Woodlawn/Wakefield,1
Midtown North,Rockaway Park,1
Yorkville West,Forest Park/Highland Park,1
Crotona Park,Claremont/Bathgate,1
Bedford,Battery Park City,1
Queensboro Hill,NV,1
Midtown North,Van Cortlandt Park,2
Steinway,Pelham Bay,1
Battery Park City,Westchester Village/Unionport,3
South Williamsburg,Carroll Gardens,1
Hammels/Arverne,Ozone Park,1
Kingsbridge Heights,Riverdale/North Riverdale/Fieldston,1
Ocean Parkway South,South Williamsburg,1
Bloomingdale,Battery Park,2
Hudson Sq,Murray Hill-Queens,1
Clinton East,Clinton West,11573
Garment District,Penn Station/Madison Sq West,6025
Central Park,Yorkville West,2805
Gramercy,Times Sq/Theatre District,3914
Williamsburg (North Side),Murray Hill,70
Greenwich Village North,Gramercy,7202
Washington Heights North,NA,13
Lenox Hill West,Sunnyside,875
Financial District North,Lower East Side,2124
Central Harlem North,Midtown North,73
Financial District North,Financial District South,1378
Yorkville West,Sutton Place/Turtle Bay North,6213
Upper East Side North,Midtown North,7894
Yorkville West,Old Astoria,199
Upper West Side North,Bronx Park,7
Queensboro Hill,Maspeth,3
LaGuardia Airport,DUMBO/Vinegar Hill,461
Midtown Center,Greenwich Village North,4853
Midtown Center,East Harlem South,2474
Boerum Hill,Cobble Hill,270
Crown Heights South,Boerum Hill,4
Financial District South,Midtown East,1112
Park Slope,Coney Island,10
Upper East Side North,West Village,952
NV,SoHo,182
UN/Turtle Bay South,Financial District North,1071
Bushwick North,Park Slope,28
Astoria,Washington Heights North,21
Midtown North,Williamsburg (South Side),198
Carroll Gardens,Gowanus,141
Ocean Hill,Baisley Park,1
Park Slope,Lincoln Square East,24
East Chelsea,Bensonhurst West,29
Columbia Street,TriBeCa/Civic Center,28
Penn Station/Madison Sq West,Ocean Hill,34
Gowanus,Borough Park,10
Astoria,East New York,8
TriBeCa/Civic Center,Flatlands,26
Morningside Heights,Crown Heights North,5
Clinton East,Bensonhurst West,26
Woodside,Woodhaven,7
Yorkville East,Spuyten Duyvil/Kingsbridge,21
Downtown Brooklyn/MetroTech,Cobble Hill,115
East Chelsea,Maspeth,29
Financial District South,Boerum Hill,176
Greenwich Village South,Bedford,403
East Tremont,Washington Heights South,1
Downtown Brooklyn/MetroTech,East Flatbush/Remsen Village,7
Midtown South,Brooklyn Navy Yard,9
Long Island City/Hunters Point,Van Cortlandt Village,3
Union Sq,Parkchester,24
Jamaica,Ozone Park,2
SoHo,Washington Heights North,62
Upper East Side South,Woodhaven,20
Washington Heights South,Steinway,5
Soundview/Castle Hill,Washington Heights South,2
Woodhaven,Cypress Hills,5
Meatpacking/West Village West,Dyker Heights,16
Financial District North,Kensington,70
Financial District South,Pelham Parkway,5
East Village,Riverdale/North Riverdale/Fieldston,30
Meatpacking/West Village West,East Concourse/Concourse Village,12
Flatiron,Woodlawn/Wakefield,4
Fordham South,Bedford Park,3
East Harlem South,Highbridge Park,11
Bath Beach,Fort Greene,1
East Flatbush/Remsen Village,Rosedale,1
Greenwich Village South,Briarwood/Jamaica Hills,10
East Elmhurst,South Ozone Park,7
Battery Park,Marble Hill,1
Red Hook,Flatbush/Ditmas Park,5
Boerum Hill,Lincoln Square East,11
Soundview/Bruckner,North Corona,1
Garment District,Stapleton,4
East Williamsburg,Allerton/Pelham Gardens,1
Lincoln Square East,Jamaica,5
Lenox Hill East,Glen Oaks,5
Manhattanville,Midtown South,23
Lincoln Square East,Port Richmond,2
Lincoln Square West,Brownsville,4
Hudson Sq,Grymes Hill/Clifton,1
Maspeth,Steinway,2
Morningside Heights,Flushing,4
Prospect Heights,Midtown East,6
Midtown East,Bath Beach,16
Clinton West,Jamaica Estates,3
Financial District South,Murray Hill-Queens,5
Flatiron,Bloomfield/Emerson Hill,3
Bedford Park,Times Sq/Theatre District,1
Times Sq/Theatre District,Hollis,5
Seaport,Bensonhurst East,2
Lenox Hill East,Sheepshead Bay,12
Spuyten Duyvil/Kingsbridge,LaGuardia Airport,2
Lincoln Square East,Springfield Gardens South,3
Astoria Park,Lenox Hill West,3
Kew Gardens,Sutton Place/Turtle Bay North,3
Bensonhurst West,Brighton Beach,4
Briarwood/Jamaica Hills,East Flushing,3
Elmhurst,Upper West Side South,3
Bushwick South,South Ozone Park,1
Madison,Bensonhurst East,2
Richmond Hill,East Harlem South,1
Washington Heights North,Claremont/Bathgate,4
Borough Park,Bensonhurst West,1
South Ozone Park,Midtown North,2
Flushing,Hudson Sq,1
Crotona Park East,NA,1
Greenwich Village South,Belmont,2
Hamilton Heights,Hillcrest/Pomonok,1
South Ozone Park,Washington Heights South,1
Kensington,Sunset Park West,4
Bloomingdale,Elmhurst/Maspeth,3
NA,Yorkville East,1
Hudson Sq,Richmond Hill,3
Lenox Hill West,Fresh Meadows,1
Kensington,Bath Beach,1
Queensbridge/Ravenswood,Briarwood/Jamaica Hills,2
Yorkville West,Pelham Bay Park,2
Auburndale,Brownsville,1
Yorkville East,Laurelton,1
Manhattanville,East New York/Pennsylvania Avenue,1
Randalls Island,Mott Haven/Port Morris,2
Bloomingdale,Fresh Meadows,1
Sunnyside,Brighton Beach,1
West Chelsea/Hudson Yards,East Flushing,1
Canarsie,South Ozone Park,2
Far Rockaway,Saint Albans,1
Little Italy/NoLiTa,Queensboro Hill,1
Central Park,Astoria Park,1
Midwood,TriBeCa/Civic Center,1
Murray Hill,Financial District North,2536
Clinton West,West Chelsea/Hudson Yards,4300
Midtown North,Garment District,6612
East Village,Flatbush/Ditmas Park,359
Astoria,Mott Haven/Port Morris,23
Upper East Side South,Clinton West,1447
Central Harlem North,Hamilton Heights,730
Clinton West,NA,163
Downtown Brooklyn/MetroTech,Central Harlem North,14
Hudson Sq,World Trade Center,542
Kips Bay,Yorkville West,1893
Garment District,LaGuardia Airport,2343
Upper East Side North,Pelham Bay Park,2
Kips Bay,Battery Park City,759
Manhattan Valley,Upper East Side North,4403
Union Sq,Lincoln Square West,1901
Greenpoint,East Williamsburg,394
Yorkville East,Astoria,181
East Village,Seaport,1304
Upper West Side South,Central Harlem,3008
Financial District North,West Village,1260
LaGuardia Airport,Bayside,268
Financial District North,Windsor Terrace,125
Manhattan Valley,Steinway,35
Brooklyn Heights,Gramercy,137
Columbia Street,Park Slope,27
Upper East Side South,Brooklyn Heights,392
East Chelsea,Crown Heights North,264
World Trade Center,Bay Ridge,123
Fort Greene,Williamsburg (North Side),122
Times Sq/Theatre District,Forest Hills,355
DUMBO/Vinegar Hill,Prospect Park,4
UN/Turtle Bay South,Lincoln Square West,537
Clinton East,Hudson Sq,799
Flatiron,Morningside Heights,306
Midtown South,Bensonhurst East,32
JFK Airport,Prospect Park,102
Lincoln Square West,Bedford,20
Bath Beach,Bath Beach,12
Corona,Corona,175
Central Harlem,Stuy Town/Peter Cooper Village,18
Times Sq/Theatre District,Rockaway Park,5
Greenwich Village North,New Dorp/Midland Beach,2
Long Island City/Hunters Point,Yorkville East,31
Astoria,Glendale,12
Park Slope,Manhattan Valley,9
East Williamsburg,Prospect Heights,39
Garment District,Murray Hill-Queens,23
Long Island City/Queens Plaza,Bedford,15
Fort Greene,Sunnyside,31
Inwood,Alphabet City,2
East Williamsburg,Alphabet City,28
Rego Park,Queensboro Hill,4
Sunnyside,East Flatbush/Remsen Village,1
Greenpoint,Seaport,4
Woodside,Flushing,24
Sutton Place/Turtle Bay North,Gowanus,51
Mott Haven/Port Morris,Alphabet City,3
Dyker Heights,Sunset Park West,3
Gowanus,Prospect Heights,32
Hudson Sq,Dyker Heights,9
